FULL_NAME_RO,DSG,,LAT,LONG
Pic del Port Vell,PK,,42.566667,1.433333
Coll de Vista,PASS,,42.475517,1.441733
Port de l’Ovella,PASS,,42.553033,1.422413
Pic de la Raconada de la Maiana,PK,,42.464494,1.608585
Collada de la Portelleta,PASS,,42.472417,1.662109
Agulla de Baiau,PK,,42.583333,1.433333
Cresta del Forat dels Malhiverns,RDGE,,42.6,1.433333
Pic del Cubil,PK,,42.526179,1.455405
Collada dels Estanys Forcats,PASS,,42.600897,1.441865
Pic Negre,PK,,42.458586,1.563222
Pic dels Llacs,PK,,42.535029,1.413964
Portella de Sanfons,PASS,,42.572839,1.435744
Pic de Sanfons,PK,,42.587068,1.427345
Coll Petit,PASS,,42.564226,1.441277
Riu de l’Espeluga,STM,,42.542303,1.440815
Coll de Finestres,PASS,,42.442538,1.555974
Pic de Baiau,PK,,42.594196,1.439652
Font d’Arduix,SPNG,,42.444403,1.444779
Pla de Mossers,UPLD,,42.45656,1.445356
Camí de la Moixella,TRL,,42.436572,1.466675
Roc de la Canalia,RK,,42.449812,1.446044
Torrent de Bixec,STM,,42.435003,1.46115
Collada Fonda,PASS,,42.466721,1.635405
Pic de Setut,PK,,42.468498,1.648439
Abrakou,PK,,43.116667,-1.416667
Pic d’Arnousse,PK,,42.809966,-0.534856
Col d’Arnostéguy,PASS,,43.05,-1.25
Pic de l’Abeillé,PK,,42.715558,0.399238
Port d’Arlépoa,PASS,,43.033439,-1.150104
Col d’Arlas,PASS,,42.966667,-0.75
Soum Blanc des Espécières,PK,,42.717291,-0.077827
Pic de Brougat,PK,,42.695021,1.376465
Col de Bentarte,PASS,,43.05,-1.266667
Pic de Soques,PK,,42.816666,-0.366667
Pic de Cambalès,PK,,42.824007,-0.243544
Peña de los Buitres,PK,,42.963273,-0.904053
Mendalé,MT,,43.308677,-1.703896
Sierra de Sandaruelo,MT,,42.726748,-0.120032
Cap de Ruhos,PK,,42.728055,1.229228
Pic d’Iparla,PK,,43.233333,-1.383333
Pic de Lourdes,PK,,42.733333,-0.116667
Pic des Mulats,PK,,42.719925,1.151248
Pic de Burcq,PK,,42.871817,-0.660619
Lindus,MT,,43.016667,-1.366667
Tuc des Pans,PK,,42.833333,0.766667
La Rhune,MT,,43.3,-1.633333
Col de Hont-Hérède,PASS,,42.8,0.666667
Port de Cauarère,PASS,,42.7,0.333333
Petit Larroun,MT,,43.308063,-1.648728
Crête de Péterneille,RDGE,,42.8,-0.2
Col de Pago Zelhay,PASS,,43.116667,-1.433333
Port de Montestaure,PASS,,42.7,1.366667
Col de Peyrelue,PASS,,42.8,-0.383333
Col de Gapelu,PASS,,43.216667,-1.383333
Gaztarrigagna,MT,,42.95,-0.95
Col d’Astate,PASS,,43.196743,-1.387444
Érintsou,MT,,43.310742,-1.678955
Col du Géant,PASS,,42.428783,2.244383
Puig Salinas,PK,,42.35644,2.061173
Pla de Salinas,PLN,,42.3591,2.038302
Mont Falgas,MT,,42.363717,2.45663
Pla del Infern,UPLD,,42.424108,2.214618
Turó Pujamil,HLL,,42.388758,1.96838
Puigmal,PK,,42.383333,2.116667
Collado de Pla Juanal,PASS,,42.412207,2.703997
Serre de la Bague de Bordeillat,MT,,42.335474,2.520198
Pico Prunes,PK,,42.426635,2.801355
Loma Morera,MT,,42.352904,2.023806
Sierra de Costa Bona,RDGE,,42.404426,2.356031
Collada de Siern,PASS,,42.4,2.433333
Puig Mouché,PK,,42.390471,2.665454
Col de Caralps,PASS,,42.364847,2.076801
Sierra de Escusaña,MTS,,41.945017,-6.923795
Font dels Traginers,SPNG,,42.431558,1.528454
Col d’Harrieta,PASS,,43.2,-1.383333
Port de Belhay,PASS,,42.95,-0.9
Port d’Ourdayte,PASS,,42.95,-0.866667
Col d’Arratille,PASS,,42.783333,-0.166667
Portillo de Cuba el Rey,PASS,,42.833333,-0.616667
Collada de Canòlic,PASS,,42.46158,1.446396
Port Negre,PASS,,42.458082,1.565395
Port de Pouey le Bon,PASS,,42.683333,0.266667
Pic de Troumouse,PK,,42.716667,0.133333
Pic des Miquelets,PK,,42.379854,2.431299
Sierra de Laboreiro,MTS,,42.028145,-8.083076
Arroyo de la Rivera,STM,,41.934458,-6.656049
Río Támega,STM,,41.083333,-8.35
Bay of Gibraltar,BAY,,36.15,-5.433333
Río Irati,STM,,42.583333,-1.266667
Río Muga,STM,,42.233333,3.133333
Río Ardila,STM,,38.2,-7.466667
Mar Balear,SEA,,40,2
Cabeza de Tonete,PK,,42.85,0.716667
Río Bidasoa,STM,,43.366667,-1.783333
Port de Colatx,PASS,,42.716667,1.316667
Tuc deth Plan der Ome,PK,,42.85,0.683333
Cabeza de la Coma de Durdies,PK,,42.833333,0.666667
Tuc de Barlonguèra,PK,,42.783333,1.016667
Bahía de Chingudy,COVE,,43.366667,-1.783333
Puerto de Berderiz,PASS,,43.116667,-1.433333
Còth de Baretja,PASS,,42.750624,0.644247
Coret dera Artigueta,PASS,,42.766667,0.65
Pico de Acué,MT,,42.816667,-0.6
Collado d’Anaye,PASS,,42.933333,-0.733333
Pas dera Portèule,PASS,,42.833333,0.8
Puerto de Bielsa,PASS,,42.733333,0.2
Puerto Viejo de la Canal,PASS,,42.716667,0.066667
Port de Perafita,PASS,,42.463761,1.592214
Golfo de Cádiz,GULF,,36.833333,-7.166667
Río Duero,STM,,41.133333,-8.666667
Río Valira,STM,,42.35,1.45
Pirineos,MTS,,42.666667,1
Roc de la Campana,PK,,42.416667,-2.716667
Río Garona,STM,,45.033333,-0.6
Navarra,RGNH,,43,-1.5
Río Alcarrache,STM,,38.266667,-7.4
Alto de Buztanzelhay,PK,,43.193689,-1.388406
Puerto de Clarabide,PASS,,42.683333,0.45
Punta Batoua,PK,,42.7,0.333333
Puerto de Urdiceto,PASS,,42.7,0.283333
Bosque de Irati,FRST,,43.016667,-1.1
Punta Sandaruelo,PK,,42.716667,-0.083333
Pico de la Gran Facha,PK,,42.8,-0.233333
Rada de Higuer,BAY,,43.383333,-1.766667
Malh de Betlan,PK,,42.8,0.666667
Puerto de Bernatuara,PASS,,42.733333,-0.1
Puerto de la Lera,PASS,,42.7,0.066667
Collado de Lizuniaga,PASS,,43.283333,-1.633333
Tuc de Ribassetes,PK,,42.716667,0.683333
Collado de la Pala del Calleu del Loup,PASS,,42.829496,0.661784
Pic de Mariola,PK,,42.716667,1.216667
Pico de Pineta,PK,,42.696118,0.048336
Lezeta,PK,,43.133333,-1.416667
Pòrt dera Horqueta,PASS,,42.8,0.9
Bacivèr,PK,,42.833333,0.816667
Pico Palas,PK,,42.85,-0.316667
Arluxe,PK,,43.083333,-1.466667
Pico de Arlas,PK,,42.966667,-0.75
Pòrt d’Aulà,PASS,,42.766667,1.116667
Port de Tavascan,PASS,,42.716667,1.25
Tuc de Poilaner,PK,,42.733333,0.683333
Portilhon d’Albi,PASS,,42.816667,0.883333
Puerto de Portalet,PASS,,42.8,-0.416667
Pico Balaitous,PK,,42.85,-0.283333
Puerto de Boet,PASS,,42.616667,1.433333
Isla de los Faisanes,ISL,,43.35,-1.766667
Collado de Acherito,PASS,,42.9,-0.716667
Pic de Sahaja,PK,,42.85,0.683333
Peña Plata,PK,,43.25,-1.566667
Collada de la Plana del Alba,PASS,,42.74695,-0.120618
Pòrt dera Girèta,PASS,,42.783333,1.033333
Pic dera Girèta,PK,,42.783333,1.05
El Casco,PK,,42.687752,-0.026362
Pic de Certascan,PK,,42.7149,1.279799
Puerto del Palo,PASS,,42.874505,-0.665939
Puerto de Marcadau,PASS,,42.8,-0.216667
Pico Marboré,PK,,42.683333,0.016667
Pico de la Mina,PK,,42.7,0.65
Tuc dera Sèrra Nauta,PK,,42.813514,0.885815
Puerto de Anso,PASS,,42.9,-0.733333
Puerto de Jaca,PASS,,42.824804,-0.499282
Pico Perdiguero,MT,,42.692791,0.518677
Puerto de Lindus,PASS,,43.016667,-1.366667
Mendimotxa,PK,,43.1,-1.333333
Puerto de la Madera,PASS,,42.683333,0.316667
Era Pica,PK,,42.85,0.8
Pico de la Munia,PK,,42.716667,0.133333
Puerto de los Mulos,PASS,,42.8,-0.15
Pica Roja,PK,,42.7,1.166667
Pico Baliner,PK,,42.716667,0.35
Pico de Urdiceto,PK,,42.673262,0.295252
Malh de Bolard,PK,,42.806595,0.960188
Pic del Muntanyol,PK,,42.750485,1.132986
Puerto de Plan,PASS,,42.683333,0.316667
Puerto de la Pez,PASS,,42.717222,0.37145
Cabeza de las Entenes,PK,,42.75,0.65
Pic d’Orhi,MT,,42.983333,-1
Tuc de Maubèrme,PK,,42.783333,0.916667
Coth de Panèc,PASS,,42.783333,0.65
Río Nivelle,STM,,43.4,-1.666667
Puerto de Somport,PASS,,42.798325,-0.531426
Pico Comachibosa,PK,,42.766667,-0.15
Macizo de Viñamala,MT,,42.766022,-0.155094
Urkulu,MT,,43.05,-1.233333
Peña de Riste,PK,,42.866667,-0.666667
Eth Portilhon,PASS,,42.766667,0.65
Puerto de la Glera,PASS,,42.7,0.616667
Isterbegi,PK,,43.05,-1.433333
Puerto de Izpegi,PASS,,43.166667,-1.4
Tuc deth Pòrt d’Òrla,PK,,42.783333,0.983333
Pòrt d’Òrla,PASS,,42.8,0.983333
Pico de Maupás,PK,,42.7,0.533333
Coll de Cerbi,PASS,,42.717152,1.189603
Port de Guiló,PASS,,42.71988,1.337759
Tuc de Senó,PK,,42.719451,1.296359
Alto de Tutulia,PK,,43.215027,-1.383989
Pico del Puerto de O,PK,,42.700555,0.484719
Pico Lakora,PK,,42.95,-0.833333
Tuc de Crabèra,PK,,42.833333,0.866667
Pica d’Estats,PK,,42.666667,1.4
Port de Romaset,PASS,,42.633333,1.416667
Puerto de Trigoniero,PASS,,42.716667,0.25
Pico de Larralla,PK,,42.883331,-0.7
Lasteguico-gaina,PK,,43.1,-1.45
Lizarrietaco-burua,PASS,,43.266667,-1.616667
Puerto de Bujaruelo,PASS,,42.716667,-0.066667
Pico de Escaleta,PK,,42.683333,0.683333
Río Idorra,STM,,43,-1.083333
Idusquimendi,PK,,43.266667,-1.4
Otxogorri Gana,PK,,42.95,-0.916667
Collado de la Piedra de San Martin,PASS,,42.816667,-0.25
Argaraicomendia,MT,,43.08672,-1.345978
Pico Petrechema,PK,,42.9,-0.733333
Collado de Ibardin,PASS,,43.316667,-1.683333
Collado de la Cascada,PASS,,42.687817,0.004617
Coth dera Montanheta,PASS,,42.793956,0.665558
Puerto de Larrau,PASS,,42.966667,-1
Petrechema,PK,,42.9,-0.733333
Port de l’Artiga,PASS,,42.7,1.35
Alto de Aintziaga,PK,,43.183333,-1.4
Pico del Ibonet,PK,,42.716667,0.266667
Pico de Arrès,PK,,42.733333,0.666667
Pico de Tuca Roya,PK,,42.7,0.033333
Portillón de Benasque,PASS,,42.7,0.633333
Collado de Soba,PASS,,42.833332,-0.333333
Pòrt de Sotllo,PASS,,42.733333,1.133333
Tuc de Sacauba,PK,,42.85,0.716667
Pico de Sacroux,PK,,42.7,0.6
Pic de Cernalles,PK,,42.781863,1.059428
Pòrt d’Urets,PASS,,42.783333,0.933333
Collado de Rumpiso,PASS,,42.416667,3.116667
Pic Bastiments,PK,,42.416667,2.233333
Pico de Frausa,PK,,42.416667,2.716667
Pico Puig Farinos,PK,,42.483333,1.8
Sierra de Jarés,MTS,,41.8,-8
Roca Tres Termes,PK,,42.466667,2.933333
Salinas,PK,,42.416667,2.75
Pic de la Tossa,PK,,42.483333,1.816667
Pico de Tarabaus,PK,,42.416667,3.1
Collada Fonda,PASS,,42.416667,2.183333
Coma Negra,MT,,42.333332,2.533333
Collado de Pames,PASS,,42.4,2.383333
Collado Forcadell,PASS,,42.45,2.933333
Coll de Faig,PASS,,42.4,2.666667
Pico Gorro Blanch,PK,,42.366667,2.083333
Pico de la Dona,PK,,42.433333,2.266667
Arroyo de San Juan,STM,,39.066667,-7.016667
Sierra de Rompe,MT,,41.65,-6.5
Arroyo Zangallón,STM,,39.033333,-6.966667
Sierra de Larouca,MTS,,41.916667,-7.666667
Río de Guadramil,STM,,41.9,-6.55
Río Erjas,STM,,39.666667,-7.016667
Sierra de la Cruz Piñeiro,MTS,,41.816667,-8.083333
Río Calabor,STM,,41.916667,-6.683333
Río Caya,STM,,38.833333,-7.083333
Río Múrtiga,STM,,38.166667,-7.083333
