FULL_NAME_RO,DSG,,LAT,LONG
Norden,RGN,,62,-6
Mivttejávri,LK,,69.901111,28.261389
Leaibejohka,STM,,69.933333,28.016667
Gorževárri,HLL,,68.966667,22.2
Gieddeoaivi,MT,,69.139188,21.047285
Goallárjávri,LK,,69.092612,20.654023
Jiehkkáš,MTS,,69.085315,20.83474
Háldi,MTS,,69.301969,21.283956
Gállotjohka,STM,,69.708969,28.956681
Soavveljohka,STM,,69.705444,28.775316
Muottahasoaivi,HLL,,68.789647,24.158323
Dierpmesvárri,HLL,,68.705239,23.673819
Sálvvošbuollán,HLL,,68.671579,23.049884
Rávdoaivi,HLL,,68.681649,24.608415
Rávdojávri,LK,,68.734033,24.230795
Buvssašvárri,HLL,,68.716296,22.374773
Spálloaivi,HLL,,68.691952,23.440813
Roavvoaivi,HLL,,68.82339,23.779291
Skierroaivi,HLL,,68.720316,22.636641
Urdevárri,HLL,,68.744179,22.535399
Bizeroavvi,HLL,,68.714114,22.678908
Rádjajohka,STM,,68.639906,25.116963
Buolbmátjávri,LK,,70,28
Geađgesuolojávri,LK,,69.740307,28.891264
Vuovdavárri,HLL,,69.973757,28.065521
Ártnetjávri,LK,,69.052276,25.753009
Anárjohka,STM,,69.441916,25.817314
Bahásguoika,RPDS,,69.365968,25.816008
Mohkkejávri,LK,,68.856745,25.284921
Deatnu,STM,,70.50348,28.394722
Láddojávrrit,LK,,69.267323,21.652478
Váddesavu,STMX,,69.009447,25.770154
Njuorggánsavu,STMX,,70.085142,27.887022
Buollánguoika,RPDS,,70.050825,27.545796
Jeagelveainuorri,STMA,,70.029545,27.524783
Rohtoguoika,RPDS,,70.021106,27.458064
Suveguoika,RPDS,,69.998602,27.38019
Báktevársavu,STMX,,69.92564,26.457991
Mivttejávri,LK,,69.897206,28.26594
Sámmálnjavvi,STMX,,69.281944,25.738006
Rádjejávri,LK,,69.649806,29.161791
Gielleduottar,HLL,,68.687507,22.79924
Skiehččanjohka,STM,,68.889174,25.401669
Rávdojávri,LK,,68.67092,24.680902
