FULL_NAME_RO,DSG,,LAT,LONG
Skavelen,LK,,59.3,11.8
Svangsfjellet,MT,,66.55,15.566667
Melkfjellet,MT,,66.133333,14.85
Ranseren,LK,,65.183333,14.366667
Nedre Skinnfellvatnet,LK,,65.833333,14.616667
Plassavare,MT,,66.233333,15.35
Artfjellet,MT,,65.966667,14.566667
Snøtoppen,MT,,67.466667,16.133333
Fiskevatn,LK,,69.833333,28.366667
Polmakvannet,LK,,70,28
Grensevatnet,LK,,69.024167,29.070556
Langvatnet,LK,,69.333333,29.6
Klistervatnet,LK,,69.566944,30.1875
Vonsjøen,LK,,62.266667,12.3
Litle Vonsjøen,LK,,62.3,12.266667
Vonsjøgusten,MT,,62.266667,12.3
Grøvelsjøen,LK,,62.133333,12.266667
Fløtningsjøen,LK,,61.866667,12.183333
Härjehogna,MT,,61.733333,12.133333
Sylan,MTS,,63.033333,12.216667
Bealjehkh,MTS,,63.033333,12.216667
Midtre Muggsjøen,LK,,62.433333,12.216667
Skjebrofjellet,MT,,62.4,12.25
Hyddsjøen,LK,,62.766667,12.133333
Skræddersjø,LK,,62.95,12.15
Store Skardørsjø,LK,,62.866667,12.083333
Store Olåa,STM,,62.066667,12.3
Litle Olåa,STM,,62.066667,12.316667
Østerfjellet,MT,,61.683333,12.2
Brattfjellet,MT,,61.566667,12.566667
Fulufjellet,MTS,,61.55,12.716667
Vestertangen,MT,,61.416667,12.783333
Bergåa,STM,,61.45,12.566667
Drevja,STM,,61.4,12.633333
Skurdalssjøen,LK,,63.366667,12.133333
Viglskaftet,MT,,62.483333,12.15
Gira,STM,,61.383333,12.716667
Tangåa,STM,,61.366667,12.75
Ljøra,STM,,61.3,13.066667
Stor-Tannåa,STM,,61.15,12.683333
Lutua,STM,,61.066667,12.7
Varåa,STM,,60.983333,12.516667
Hølja,STM,,60.933333,12.483333
Halåa,STM,,60.9,12.333333
Halsjøen,LK,,60.883333,12.316667
Svarthammaren,MT,,67.2,16.416667
Kroksjøen,LK,,60.733333,12.4
Medskogsåa,STM,,60.683333,12.433333
Skjærberget,HLL,,60.666667,12.483056
Elgklinten,HLL,,60.633333,12.516667
Søndre Baksjøen,LK,,60.433333,12.6
Merraskardfjellet,MT,,63.6,12.166667
Lihpiejaevrie,LK,,63.45,12.2
Hallsjøen,LK,,63.45,12.2
Grøtasbu Tjern,LK,,59.083333,11.766667
Kruehkiejaevrie,LK,,63.366667,12.133333
Skarddørsfjella,MT,,62.9,12.05
Svanevatn,LK,,69.433333,30.033333
Buksfjellet,MT,,65.7,14.55
Melkvatnan,LK,,66.15,14.883333
Nasafjellet,MT,,66.483333,15.366667
Sulitjelma,MTS,,67.133333,16.4
Heinberghompan,MT,,66.766667,15.8
Njallavardo,MT,,66.733333,15.766667
Toppfjellet,MT,,66.666667,15.716667
Litle Umvatnet,LK,,66.15,14.983333
Svánjga,MT,,66.55,15.566667
Gresvatnet,LK,,66.05,14.483333
Rágotjåhkkå,MT,,67.416667,16.15
Vuolep Sårjåsjávrre,LK,,67.2,16.416667
Gosebakte,MT,,66.2,15.266667
Gubbeltåga,STM,,66.466667,15.216667
Kingen,LK,,64.016667,13.983333
Muruelva,STM,,64.45,14.15
Steintjørna,LK,,66.233333,15.283333
Kjølen,MTS,,65,14
Saksenfjellet,MT,,65.15,14.366667
Virvasselva,STM,,66.3,15.416667
Krutvatnet,LK,,65.683333,14.55
Låtak,HLL,,65.75,14.6
Skærrim,MT,,66.766667,15.8
Strájdastjåhkkå,MT,,66.583333,15.6
Røgden,LK,,60.383333,12.6
Nøklevatnet,LK,,60.35,12.55
Varaldsjøen,LK,,60.116667,12.45
Skålsjøen,LK,,60.066667,12.483056
Utgardsjøen,LK,,60.016667,12.383333
Leirsjøen,LK,,59.883333,12.166667
Holmsjøen,LK,,59.9,12.1
Helgesjøen,LK,,59.883333,12.016667
Tannsjøen,LK,,59.866667,11.916667
Lembruvanna,LK,,59.85,11.833333
Holmtjenn,LK,,59.833333,11.85
Fjellbuvannet,LK,,59.833333,11.866667
Hornsjøen,LK,,59.783333,11.916667
Røvannet,LK,,59.75,11.916667
Hvitsjøen,LK,,59.7,11.933333
Nedre Langebekk,STM,,59.7,11.933333
Østre Rømungen,LK,,59.65,11.766667
Store Le,LK,,59.083333,11.883333
Urdevannet,LK,,59.1,11.766667
Søndre Boksjø,LK,,59.033333,11.7
Hisøya,ISL,,58.9,11.65
Nordre Kornsjø,LK,,58.916667,11.65
Søndre Hogsjøen,LK,,58.883333,11.5
Iddefjorden,FJD,,59.05,11.4
Sekken,CHNM,,58.993113,11.093848
Fallsjøen,LK,,60.566646,12.54828
Billaelva,STM,,59.9,12.283333
Austre Lulep,MT,,67.519399,16.156303
Vrangselva,STM,,59.816667,12.266667
Baugefjellet,MT,,68.051602,17.180086
Nordre Vammen,LK,,58.896032,11.45552
Hurre,MT,,67.535831,16.405973
Enlivola,MT,,63.233333,12.033333
Brunntjønnbekken,STM,,61.183333,12.733333
Ajnenvaartoe,MT,,63.233333,12.033333
Urttasoaivi,MT,,69.216667,21.033333
Áldovárri,MT,,69.125526,21.077404
Čoahppejávri,LK,,69.056282,21.05955
Duolljehuipput,MT,,69.103324,21.109387
Čorrováhgáisi,MT,,69.045725,20.061879
Goallároaivi,MT,,69.098356,20.661941
Muvravárri,MT,,69.036099,21.057531
Moskángáisi,MT,,68.996819,20.158603
Vaggatem,LK,,69.253402,29.258891
Haglklumpen,MT,,69.34996,29.054023
Čordnoaivi,MT,,69.34996,29.054023
Uhcit Buollánvárri,HLL,,69.669406,29.045993
Kranglfjellet,HLL,,69.075512,28.859103
Bártevárri,HLL,,69.075512,28.859103
Vársaljávri,LK,,69.271617,28.954918
Føllvatnet,LK,,69.271617,28.954918
Holderen,LK,,64.036113,12.901835
Strådøla,STM,,63.800936,12.377336
Rengen,LK,,64.092202,13.997234
Skillevatnet,LK,,63.703947,12.310867
Juthatten,MT,,64.046064,13.715806
Vala,STM,,61.966667,12.25
Skardmodalselva,STM,,65.487011,14.313758
Søndre Vammen,LK,,58.883333,11.45
Rainesfjellet,RDGE,,65.2264,14.316992
Raajnese,RDGE,,65.2264,14.316992
Siderssjøelva,STM,,64.816667,14.05
Trysilelva,STM,,59.383333,13.533333
Kvithattfjellet,MT,,64.01965,13.894125
Nea,STM,,63.216667,11.033333
Holdershatten,HLL,,64.059813,12.930093
Grunntjønna,LK,,63.842867,12.509692
Duvkienloebpele,LK,,63.842867,12.509692
Gjevsjøen,LK,,64.073106,13.048755
Gálgovađđa,HLL,,68.753427,24.153017
Alitvárri,HLL,,68.77946,24.075202
Alitjávri,LK,,68.787273,24.051624
Máđároaivi,HLL,,68.836478,23.871538
Rádjoaivi,HLL,,69.47834,29.336274
Golmmešjávri,LK,,69.833333,28.366667
Bergholmvatn,LK,,69.740307,28.891264
Boršejávri,LK,,69.333333,29.6
Varsselinjärvi,LK,,69.271617,28.954918
Vouvatusjärvi,LK,,69.253402,29.258891
Portivaara,HLL,,69.075512,28.859103
Kapperijärvi,LK,,69.203629,28.831103
Vuoremijärvi,LK,,69.551166,30.912132
Vuorjánjávri,LK,,69.551166,30.912132
Jakobselvvatnet,LK,,69.551166,30.912132
Jakobselva,STM,,69.774741,30.843917
Vuorján,STM,,69.774741,30.843917
Vuoremijoki,STM,,69.774741,30.843917
Vaggatemstryket,RPDS,,69.300702,29.31574
Tangenfossen,RPDS,,69.075199,29.174354
Hareryggen,RDGE,,69.109704,28.807644
Njoammelčielgi,RDGE,,69.109704,28.807644
Skogfoss,RPDS,,69.366667,29.716667
Geavŋŋis,RPDS,,69.634444,30.143333
Skoltefoss,RPDS,,69.634444,30.143333
Langvatn,LK,,69.645933,30.25074
Guhkesluoppal,LK,,69.645933,30.25074
Pasvikelva,STM,,69.709172,30.103503
Báhčeveaijohka,STM,,69.709172,30.103503
Paatsjoki,STM,,69.709172,30.103503
Pikevatnet,LK,,69.658016,30.197969
Neitijärvi,LK,,69.658016,30.197969
Maidit,RPDS,,69.383535,29.714816
Maitokoski,RPDS,,69.383535,29.714816
Melkefoss,RPDS,,69.383535,29.714816
Guhkesjávri,LK,,69.580214,30.947883
Neidenelva,STM,,69.697719,29.546696
Njávdánjohka,STM,,69.697719,29.546696
Langvatnet,LK,,69.580214,30.947883
Holmfossen,RPDS,,69.531096,30.152824
Harefossen,RPDS,,69.605152,30.15423
Njoammelcaskkas,RPDS,,69.605152,30.15423
Hestefossen,RPDS,,69.116667,29.25
Jordanfossen,RPDS,,69.206782,29.303351
Grensefossen,RPDS,,69.016667,29.033333
Bjørnevatnet,LK,,69.515785,30.121577
Guvžajávri,LK,,69.515785,30.121577
Grenserabben,HLL,,69.224417,28.832123
Rádjavađaš,HLL,,69.224417,28.832123
Rajavaara,HLL,,69.224417,28.832123
Munkelva,STM,,69.64935,29.465205
Uvdu,STM,,69.64935,29.465205
Cáđđervárri,HLL,,69.184695,28.829772
Kolfjellet,HLL,,69.184695,28.829772
Kobbfoss,RPDS,,69.325751,29.520686
Sandneselva,STM,,69.666475,29.920901
Važžejohka,STM,,69.666475,29.920901
Kotajoki,STM,,69.666475,29.920901
Bartageavŋŋis,RPDS,,68.889827,25.522446
Tana,STM,,70.50348,28.394722
Fálleváráš,HLL,,69,22.1
Somáoaivi,HLL,,69.28282,21.590192
Somájávri,LK,,69.280535,21.535655
Oadjevárri,HLL,,68.912705,22.23462
Jorba Čierte,HLL,,69.14126,21.851258
Muotkavaara,HLL,,69.052489,28.926911
Krokfjellet,HLL,,69.052489,28.926911
Muotkevárri,HLL,,69.052489,28.926911
Golmmešoaivi,HLL,,69.849609,28.328216
Gállovárri,HLL,,68.604079,24.802074
Várdoaivi,HLL,,69.214732,21.722224
Båvrojávrre,LK,,68.042669,17.008144
Sijliesjohke,STM,,64.816667,14.05
Vuelie-Sipmehke,LK,,65.027663,14.197882
Austre Sipmeken,LK,,65.027663,14.197882
Amásvágjávrre,LK,,67.75,16.616667
Bávketjåhkkå,MT,,68.051602,17.180086
Gruksfjellet,PK,,64.979271,14.132666
Gearddošjávri,LK,,69.08822,28.854725
Grenseparvatnet,LK,,69.08822,28.854725
Rajakertusjärvi,LK,,69.08822,28.854725
Borgejávri,LK,,69.791532,28.554385
Rødikklumpen,MT,,64.76301,13.848259
Linvasselva,STM,,64.6327,13.751984
Påarhte,MT,,64.580414,13.654508
Portfjellet,MT,,64.580414,13.654508
Lyjmededaelienjohke,STM,,64.6327,13.751984
Sipmektinden,MT,,65.065286,14.244006
Sipmehketjahke,MT,,65.065286,14.244006
Stimen,RDGU,,70.883333,-9.283333
Rundfjellet,MT,,69.045569,20.301438
Rivgoaivi,MT,,68.418404,19.552599
Stuora Jiertá,MT,,68.517008,18.983754
Hjerta,MT,,68.517008,18.983754
Dossaganjávri,LK,,68.329683,18.118933
Čoarvejávri,LK,,68.032976,17.969664
Čoađgejávri,LK,,68.108954,17.365882
Tjårdavatnet,LK,,68.108954,17.365882
Unna Guovdelisjávri,LK,,68.003662,17.928634
Stuorrarijdda,MT,,68.118626,17.282465
Storriten,MT,,68.118626,17.282465
Stuora Gámasjávri,LK,,68.478453,20.153279
Sijdasjávrre,LK,,68.019806,17.407028
Bjørkvatnet,LK,,64.084696,13.285776
Penningkeisa,MT,,64.195075,14.157091
Beetnehgaejsie,MT,,64.195075,14.157091
Oivisfjellet,MT,,64.258299,14.145618
Eevesåejjie,MT,,64.258299,14.145618
Aallijegaejsie,MT,,64.079643,13.379384
Søre Gjevsjøhatten,MT,,64.095502,13.211113
Luspie,MT,,64.095502,13.211113
Svinesund,FJD,,59.1,11.283333
Leirvatnet,LK,,67.283333,16.25
Leirvassfjellet,MT,,67.3,16.25
Juoksa,LK,,66.866667,16.016667
Storsylen,PK,,63,12.216667
Ruten,MT,,62.6,12.05
Gråberget,HLL,,60.6,12.516667
Storkluken,MT,,63.266667,12
Singlefjorden,FJD,,59.083333,11.116667
Nuortta Sávllo,MT,,66.95,16.166667
Saaksentjahke,MT,,65.15,14.366667
Rogen,LK,,62.316667,12.383333
Ringdalsfjorden,FJD,,59.108861,11.310883
Gáhppoaivi,MT,,69.045569,20.301438
Rostojávri,LK,,68.770225,20.444221
Svaaletjahke,MT,,65.6,14.566667
Jitneme,MT,,65.116667,14.333333
Njallajávrre,LK,,67.816148,16.663182
Ruonasvágge,VAL,,67.666667,16.55
Tjårok,MT,,67.788661,16.609647
Kroehkestahke,PK,,64.979271,14.132666
Baajme,MT,,65.011367,14.175316
Vággejohka,STM,,68.5,19.316667
Vuoiddasčahca,PASS,,68.580522,18.39741
Gátterjávri,LK,,68.38933,18.100931
Gáivárri,MT,,68.356018,19.921377
Såekiejaevrie,LK,,64.084696,13.285776
Serviesgaejsie,PKS,,64.065469,13.53769
Lullehačorru,UPLD,,68.509553,18.741117
Scandinavia,RGN,,63,12
Skandinavien,RGN,,63,12
Skandinavien,RGN,,63,12
Skandinavia,RGN,,63,12
Polmakjävri,LK,,70,28
Polmakvann,LK,,70,28
Polmakvand,LK,,70,28
Polmakvatn,LK,,70,28
Puolbmatjarvi,LK,,70,28
Puolmak-Järvi,LK,,70,28
Polmakjärvi,LK,,70,28
Buolbmagjawre,LK,,70,28
Pulmankijärvi,LK,,70,28
Puolbmakjävri,LK,,70,28
Polmakvatnet,LK,,70,28
Laeibejokka,STM,,69.933333,28.016667
Leibijoki,STM,,69.933333,28.016667
Laeibjokka,STM,,69.933333,28.016667
Læibbejokka,STM,,69.933333,28.016667
Leipäjoki,STM,,69.933333,28.016667
Urtasvaara,MT,,69.216667,21.033333
Kvannerotfjellet,MT,,69.216667,21.033333
Urtasoaivi,MT,,69.216667,21.033333
Urtasoaivve,MT,,69.216667,21.033333
Urttašvárri,MT,,69.216667,21.033333
Urtasvaarri,MT,,69.216667,21.033333
Guollebastemjawre,LK,,69.833333,28.366667
Kolmisjärvi,LK,,69.833333,28.366667
Cieollebastemjor,LK,,69.833333,28.366667
Gölmsjawre,LK,,69.833333,28.366667
Golmisjavrre,LK,,69.833333,28.366667
Guollebastemjavrre,LK,,69.833333,28.366667
Kolmishjärvi,LK,,69.833333,28.366667
Guollebas’tenjar’vi,LK,,69.833333,28.366667
Stuorát Golmmesjávri,LK,,69.833333,28.366667
Stuárráb Kolmišjävri,LK,,69.833333,28.366667
Fiskevann,LK,,69.833333,28.366667
Fiskevand,LK,,69.833333,28.366667
Mivtejawre,LK,,69.901111,28.261389
Miuttijärvi,LK,,69.901111,28.261389
Mivtejavrre,LK,,69.901111,28.261389
Mivtiyärvi,LK,,69.901111,28.261389
Mivtejav’ri,LK,,69.901111,28.261389
Gorzzevarre,HLL,,68.966667,22.2
Gorzevarre,HLL,,68.966667,22.2
Går’ževarri,HLL,,68.966667,22.2
Kortshivaarri,HLL,,68.966667,22.2
Grensevatn,LK,,69.649806,29.161791
Grensevann,LK,,69.649806,29.161791
Grensevand,LK,,69.649806,29.161791
Rajajärvi,LK,,69.649806,29.161791
Rahajärvi,LK,,69.649806,29.161791
Ragjejavrre,LK,,69.649806,29.161791
Raajj-jäu´rr,LK,,69.649806,29.161791
Kolmishoaivi,HLL,,69.849609,28.328216
Golmisoaive,HLL,,69.849609,28.328216
Kolmisoaivi,HLL,,69.849609,28.328216
Golmisoaivve,HLL,,69.849609,28.328216
Kolmmesoaivi,HLL,,69.849609,28.328216
Kolmišuáivi,HLL,,69.849609,28.328216
Golmmesoaivi,HLL,,69.849609,28.328216
Masælgvarre,MT,,69.036099,21.057531
Muurivaara,MT,,69.036099,21.057531
Muvračohkka,MT,,69.036099,21.057531
Maasel Varre,MT,,69.036099,21.057531
Maasselvaarri,MT,,69.036099,21.057531
Masælgvarri,MT,,69.036099,21.057531
Tshvahpijärvi,LK,,69.056282,21.05955
Coap’pejawre,LK,,69.056282,21.05955
Nuorta Cappis Lake,LK,,69.056282,21.05955
Nuortacappis Javrre,LK,,69.056282,21.05955
Coappejavrre,LK,,69.056282,21.05955
Čoahpejávri,LK,,69.056282,21.05955
Tshoahpijärvi,LK,,69.056282,21.05955
Čoap’pejav’ri,LK,,69.056282,21.05955
Tuolihuippu,MT,,69.103324,21.109387
Tuoljihuhpuht,MT,,69.103324,21.109387
Duol’ljehupput,MT,,69.103324,21.109387
Duolljehuhput,MT,,69.103324,21.109387
Altovaara,MT,,69.125526,21.077404
Aldovarre,MT,,69.125526,21.077404
Altovaarri,MT,,69.125526,21.077404
Áldorášša,MT,,69.125526,21.077404
Goallarrássa,MT,,69.098356,20.661941
Goallárrášša,MT,,69.098356,20.661941
Raasatunturi,MT,,69.098356,20.661941
Jiekkaš,MTS,,69.085315,20.83474
Jehkatsh,MTS,,69.085315,20.83474
Jiekkas,MTS,,69.085315,20.83474
Jehkatstunturit,MTS,,69.085315,20.83474
Jehkastunturit,MTS,,69.085315,20.83474
Korkea-Jehkas,MTS,,69.085315,20.83474
Mallajärvi,LK,,69.092612,20.654023
Goallarvaggebuddejavrre,LK,,69.092612,20.654023
Goallarvaggebađajawre,LK,,69.092612,20.654023
Goallarvaggebudde Lake,LK,,69.092612,20.654023
Baritovarre,HLL,,69.075512,28.859103
Kranglefjell,HLL,,69.075512,28.859103
Barttevaara,HLL,,69.075512,28.859103
Porttivaara,HLL,,69.075512,28.859103
Porttvääri,HLL,,69.075512,28.859103
Barttevarre,HLL,,69.075512,28.859103
Kranglefjellet,HLL,,69.075512,28.859103
Haltia,MTS,,69.301969,21.283956
Haltiatunturi,MTS,,69.301969,21.283956
Halti,MTS,,69.301969,21.283956
Haldia,MTS,,69.301969,21.283956
Halddia,MTS,,69.301969,21.283956
Rajapää,HLL,,69.47834,29.336274
Reisaguorra,HLL,,69.47834,29.336274
Reisoguorra,HLL,,69.47834,29.336274
Store Grensefjell,HLL,,69.47834,29.336274
Stuorra Raddjoai’vi,HLL,,69.47834,29.336274
Räjiuáivi,HLL,,69.47834,29.336274
Raa´jjvuei´vv,HLL,,69.47834,29.336274
Kieddeoaivi,MT,,69.139188,21.047285
Gieddeoaivve,MT,,69.139188,21.047285
Alddo Rasõsõa,MT,,69.139188,21.047285
Gieddeoaive,MT,,69.139188,21.047285
Gieddoaivi,MT,,69.139188,21.047285
Kieddioaivi,MT,,69.139188,21.047285
Følvatn,LK,,69.271617,28.954918
Varssaljavre,LK,,69.271617,28.954918
Følvann,LK,,69.271617,28.954918
Fölvand,LK,,69.271617,28.954918
Varssalijärvi,LK,,69.271617,28.954918
Varssaljavrre,LK,,69.271617,28.954918
Varssaljaur,LK,,69.271617,28.954918
Varsaljavrre,LK,,69.271617,28.954918
Kapperijärvet,LK,,69.203629,28.831103
Räji Kappeerjävri,LK,,69.203629,28.831103
Raja-Kapperijärvi,LK,,69.203629,28.831103
Kapperjärvet,LK,,69.203629,28.831103
Kapparijärvet,LK,,69.203629,28.831103
Tšurnoaivi,MT,,69.34996,29.054023
Tojordnoaivve,MT,,69.34996,29.054023
Tshurnovuono,MT,,69.34996,29.054023
Condnoaivve,MT,,69.34996,29.054023
Čordnooaivve,MT,,69.34996,29.054023
Surnupäät,MT,,69.34996,29.054023
Curnâuáivih,MT,,69.34996,29.054023
Curnnvuei´vv,MT,,69.34996,29.054023
Tshurnoaivi,MT,,69.34996,29.054023
Hagklumpen,MT,,69.34996,29.054023
Čårdnoaivi,MT,,69.34996,29.054023
Kallojoki,STM,,69.708969,28.956681
Gallokjokka,STM,,69.708969,28.956681
Kallujoki,STM,,69.708969,28.956681
Gallokelven,STM,,69.708969,28.956681
Källjokk,STM,,69.708969,28.956681
Gallutjåkka,STM,,69.708969,28.956681
Pyöllimvärri,HLL,,69.669406,29.045993
Buollánvárri,HLL,,69.669406,29.045993
Puállámvääri,HLL,,69.669406,29.045993
Puâllamvää´rr,HLL,,69.669406,29.045993
Pyöllimoaivi,HLL,,69.669406,29.045993
Buollamoaivve,HLL,,69.669406,29.045993
Brennhaugen,HLL,,69.669406,29.045993
Palovaara,HLL,,69.669406,29.045993
Bolomoive,HLL,,69.669406,29.045993
Buollamoaivi,HLL,,69.669406,29.045993
Puöllimoaivi,HLL,,69.669406,29.045993
Harrijoki,STM,,69.705444,28.775316
Suávviljuuhâ,STM,,69.705444,28.775316
Suä´vveljokk,STM,,69.705444,28.775316
Harrijokka,STM,,69.705444,28.775316
Salvaspalo,HLL,,68.671579,23.049884
Spalloai’vi,HLL,,68.691952,23.440813
Pallo-oaivi,HLL,,68.691952,23.440813
Spallooaivve,HLL,,68.691952,23.440813
Palloaivi,HLL,,68.691952,23.440813
Termisvaara,HLL,,68.705239,23.673819
Törmisvaara,HLL,,68.705239,23.673819
Dierbmesvarre,HLL,,68.705239,23.673819
Terbmisvaarri,HLL,,68.705239,23.673819
Diermesvarre,HLL,,68.705239,23.673819
Roavveoaivve,HLL,,68.82339,23.779291
Roavvuoaivi,HLL,,68.82339,23.779291
Roavveoaive,HLL,,68.82339,23.779291
Rouvoaivi,HLL,,68.82339,23.779291
Buvsašvarri,HLL,,68.716296,22.374773
Puusasvaara,HLL,,68.716296,22.374773
Buvsasvarre,HLL,,68.716296,22.374773
Buvssasvárri,HLL,,68.716296,22.374773
Njærevarre,HLL,,68.826877,22.340881
Nierivaara,HLL,,68.826877,22.340881
Njerivaara,HLL,,68.826877,22.340881
Njeärrivadha,HLL,,68.826877,22.340881
Njärevarre,HLL,,68.826877,22.340881
Njearrevárri,HLL,,68.826877,22.340881
Njearevađđa,HLL,,68.826877,22.340881
Hávgavárri,HLL,,68.78707,22.353344
Havggamarasvaraš,HLL,,68.78707,22.353344
Haukisluppo,HLL,,68.78707,22.353344
Havggamarasvaras,HLL,,68.78707,22.353344
Haukashlubbu,HLL,,68.78707,22.353344
Haukivaara,HLL,,68.78707,22.353344
Rawdojawre,LK,,68.734033,24.230795
Røesjøen,LK,,68.734033,24.230795
Ravddojavrre,LK,,68.734033,24.230795
Raudijavri,LK,,68.734033,24.230795
Rautujärvi,LK,,68.734033,24.230795
Raudujavri,LK,,68.734033,24.230795
Rav’dnjav’ri,LK,,68.734033,24.230795
Ur’devarri,HLL,,68.744179,22.535399
Urdevarre,HLL,,68.744179,22.535399
Urttivaara,HLL,,68.744179,22.535399
Urddevarre,HLL,,68.744179,22.535399
Urtivaara,HLL,,68.744179,22.535399
Skierreoaive,HLL,,68.720316,22.636641
Skierreoaivve,HLL,,68.720316,22.636641
Bizeroavve,HLL,,68.714114,22.678908
Bicceoaivve,HLL,,68.714114,22.678908
Bitseroavve,HLL,,68.714114,22.678908
Bicceroavve,HLL,,68.714114,22.678908
Pitsivaara,HLL,,68.714114,22.678908
Rajajoki,STM,,68.639906,25.116963
Mokkijärvi,LK,,68.856745,25.284921
Mokkejavrre,LK,,68.856745,25.284921
Mohkijärvi,LK,,68.856745,25.284921
Muoddahasoai’vi,HLL,,68.789647,24.158323
Muoddâs-oai’ve,HLL,,68.789647,24.158323
Muoddahasoai’ve,HLL,,68.789647,24.158323
Muoddahasoaivve,HLL,,68.789647,24.158323
Muoddakasoaivi,HLL,,68.789647,24.158323
Muoddahasoaivi,HLL,,68.789647,24.158323
Gálggovađđa,HLL,,68.753427,24.153017
Kalkuvaara,HLL,,68.753427,24.153017
Gal’govâđđâ,HLL,,68.753427,24.153017
Kalkkovaarri,HLL,,68.753427,24.153017
Kalkkovaari,HLL,,68.753427,24.153017
Aletvarre,HLL,,68.77946,24.075202
Aaletavaara,HLL,,68.77946,24.075202
Aletvárri,HLL,,68.77946,24.075202
Aalehvaarri,HLL,,68.77946,24.075202
Aletjawre,LK,,68.787273,24.051624
Alettjavrre,LK,,68.787273,24.051624
Aaletajärvi,LK,,68.787273,24.051624
Aletjavrre,LK,,68.787273,24.051624
Aalehjävri,LK,,68.787273,24.051624
Aletjávri,LK,,68.787273,24.051624
Rautujärvi,LK,,68.67092,24.680902
Røesjøen,LK,,68.67092,24.680902
Rawdojawre,LK,,68.67092,24.680902
Ravddojavrre,LK,,68.67092,24.680902
Rav’dujav’ri,LK,,68.67092,24.680902
Rav’duoai’vi,HLL,,68.681649,24.608415
Rádoaivi,HLL,,68.681649,24.608415
Rauduoaivi,HLL,,68.681649,24.608415
Röefjeld,HLL,,68.681649,24.608415
Ravddooaivve,HLL,,68.681649,24.608415
Raudoaivi,HLL,,68.681649,24.608415
